id,created_at,username,current_rating
136,2024-04-01 19:55:51.4348+00,smedley,"{""mu"": 25.517600693906637, ""sigma"": 6.125836628144296, ""ordinal"": 1371.36217942737}"
137,2024-04-01 19:55:51.4348+00,bembas,"{""mu"": 25.717262170187357, ""sigma"": 8.058224222802378, ""ordinal"": 1237.0221480427253}"
138,2024-04-01 19:55:51.4348+00,dizisarn,"{""mu"": 22.47088745880387, ""sigma"": 7.839915332844409, ""ordinal"": 1174.8273950464954}"
139,2024-04-01 19:55:51.4348+00,onyablock,"{""mu"": 33.04013202431568, ""sigma"": 6.421317773999756, ""ordinal"": 1530.6282888555938}"
140,2024-04-01 19:55:51.4348+00,SaneDude,"{""mu"": 25.943847986039383, ""sigma"": 7.390463389462439, ""ordinal"": 1290.5389876236495}"
141,2024-04-01 19:55:51.4348+00,tunibjork,"{""mu"": 19.20715712966947, ""sigma"": 7.4044879691402565, ""ordinal"": 1127.8486373339688}"
142,2024-04-01 19:55:51.4348+00,KennyRob,"{""mu"": 25.56092271359658, ""sigma"": 6.100806694032416, ""ordinal"": 1374.204063155984}"
143,2024-04-01 19:55:51.4348+00,MR_Munch,"{""mu"": 24.809689673892223, ""sigma"": 5.860546432079711, ""ordinal"": 1373.4732090636742}"
144,2024-04-01 19:55:51.4348+00,Ginger,"{""mu"": 24.380062161921956, ""sigma"": 7.35222954280016, ""ordinal"": 1255.7609648045154}"
145,2024-04-01 19:55:51.4348+00,viamer,"{""mu"": 25.803783995441396, ""sigma"": 4.807477822764576, ""ordinal"": 1473.152412651544}"
146,2024-04-01 19:55:51.4348+00,F2PEngineer,"{""mu"": 16.799494559118475, ""sigma"": 7.510787698013851, ""ordinal"": 1062.4111551618462}"
147,2024-04-01 19:55:51.4348+00,1awesomeguy,"{""mu"": 14.950757545138416, ""sigma"": 7.222610174884317, ""ordinal"": 1038.790248491651}"
148,2024-04-01 19:55:51.4348+00,Mr. Der,"{""mu"": 37.02989449826301, ""sigma"": 2.6305906559204413, ""ordinal"": 1899.3149407320407}"
149,2024-04-01 19:55:51.4348+00,bearly_trying,"{""mu"": 33.57845043100402, ""sigma"": 5.58021065187812, ""ordinal"": 1604.1076434088718}"
150,2024-04-01 19:55:51.4348+00,HeroofCanton,"{""mu"": 22.749876589386535, ""sigma"": 3.9853764665314317, ""ordinal"": 1459.0499325550136}"
151,2024-04-01 19:55:51.4348+00,loveable tofosi,"{""mu"": 22.116020522625114, ""sigma"": 3.593411162163613, ""ordinal"": 1472.0588888672225}"
152,2024-04-01 19:55:51.4348+00,backwardsdeer,"{""mu"": 26.106856330515, ""sigma"": 7.58805392422092, ""ordinal"": 1280.2246693884538}"
153,2024-04-01 19:55:51.4348+00,Zahart,"{""mu"": 27.13873002353332, ""sigma"": 7.196385174900925, ""ordinal"": 1333.1897879719331}"
154,2024-04-01 19:55:51.4348+00,przechodzenachaos,"{""mu"": 27.736512915025557, ""sigma"": 7.796847962135081, ""ordinal"": 1304.3032566868876}"
155,2024-04-01 19:55:51.4348+00,LYB,"{""mu"": 20.14183563571728, ""sigma"": 5.03932276067678, ""ordinal"": 1320.5728164884865}"
156,2024-04-01 19:55:51.4348+00,Pascal,"{""mu"": 28.807062251839575, ""sigma"": 7.562216615652896, ""ordinal"": 1346.8898977171414}"
157,2024-04-01 19:55:51.4348+00,runningtrumpet,"{""mu"": 20.342793109987728, ""sigma"": 6.648526382647619, ""ordinal"": 1209.533135089077}"
