game,player,ranking,updated_rating
58,119,4,"{""mu"": 20.85732379758121, ""sigma"": 8.071153775146477, ""ordinal"": 1119.4526993314025}"
58,18,2,"{""mu"": 26.560905555899538, ""sigma"": 8.171386410472614, ""ordinal"": 1249.1219117875607}"
58,105,1,"{""mu"": 27.833695556844436, ""sigma"": 8.259843560764324, ""ordinal"": 1273.2999569892352}"
59,121,3,"{""mu"": 21.151325362689263, ""sigma"": 8.034729368181381, ""ordinal"": 1129.131294195483}"
59,1,2,"{""mu"": 24.06676742633637, ""sigma"": 7.350709259904681, ""ordinal"": 1248.3513515189359}"
59,177,1,"{""mu"": 27.888037096633482, ""sigma"": 8.192899516844795, ""ordinal"": 1279.4241251063784}"
60,11,1,"{""mu"": 27.869048680749426, ""sigma"": 8.205243377397993, ""ordinal"": 1278.0796451653307}"
60,70,2,"{""mu"": 25.717262170187357, ""sigma"": 8.058224222802378, ""ordinal"": 1237.0221480427253}"
60,141,3,"{""mu"": 21.413689149063217, ""sigma"": 8.058224222802378, ""ordinal"": 1133.736395535746}"
61,197,2,"{""mu"": 26.55291815138952, ""sigma"": 8.17961798837266, ""ordinal"": 1248.337540470517}"
61,39,3,"{""mu"": 24.689416369722096, ""sigma"": 8.084127880168786, ""ordinal"": 1210.4887855011777}"
61,127,1,"{""mu"": 27.795252672501135, ""sigma"": 8.263571791259416, ""ordinal"": 1272.1088951693494}"
61,23,4,"{""mu"": 20.962412806387245, ""sigma"": 8.084127880168786, ""ordinal"": 1121.0406999811412}"
62,80,2,"{""mu"": 28.787254734209323, ""sigma"": 6.981316047697307, ""ordinal"": 1388.2393581868175}"
62,132,1,"{""mu"": 28.094483442963195, ""sigma"": 8.196508816408604, ""ordinal"": 1284.1189678496971}"
62,163,3,"{""mu"": 21.656778628003618, ""sigma"": 8.034355819115541, ""ordinal"": 1141.2890680957678}"
63,90,3,"{""mu"": 24.689416369722096, ""sigma"": 8.084127880168786, ""ordinal"": 1210.4887855011777}"
